Fresno State,84,3842.856887399374,3263.1931768393097
Georgia,127,5554.646609530881,2486.208805329696
Georgia Southern,41,3236.852580196107,3791.769588117647
Georgia State,6,2518.510571441753,5177.05769781603
Georgia Tech,105,4943.788385656095,3397.617661344543
Hawai'i,25,3385.26390844576,4826.109262122695
Houston,95,5305.754896670926,4122.388848117972
Illinois,36,3471.6670053975445,4575.5300391018545
Indiana,65,3634.6568820109505,3699.1083897350322
Iowa,114,4292.316341348906,2722.130912269942
Iowa State,92,3748.496767946111,3075.070461817095
Kansas,52,3630.3618411468947,4154.035105551935
Kansas State,55,3106.927484409832,3436.436443505321
Kent State,18,2617.2754220717334,4380.164024016131
Kentucky,88,3636.04004551875,3025.8151765605216
Liberty,26,3237.8013411119705,4629.494884160007
LSU,125,4528.6536573600915,2241.2849546403804
Louisiana Tech,22,2530.2264472573584,3949.759331967965
Louisiana,37,3578.1287424884354,4502.501859774318
Louisiana Monroe,29,3023.945348559592,4106.15053877259
Louisville,31,2627.678678916443,3737.8087045595175
Marshall,57,3233.3872686750024,3317.4086494929306
Maryland,91,3992.4678446501616,3228.057807310386
UMass,32,3677.10858187074,4936.3895989155235
Memphis,89,4962.631430746114,3982.142736170633
Miami,98,3747.60803192272,2957.356900995191
Miami (OH),59,3591.1714311656915,3670.357503834564
Michigan,126,5176.95399394445,2542.545556514016
Michigan State,86,2767.0740049980527,2394.738506803814
Middle Tennessee,54,3309.4609255799724,3617.2373735436854
Minnesota,72,3842.6353430920876,3674.2161767179477
Ole Miss,86,4251.439220285679,3632.111275216681
Mississippi State,118,3699.5135219757,2087.7199407149883
Missouri,121,5047.741320969902,2838.927047022149
Navy,28,2769.3246000993445,4134.673570246811
Nebraska,81,3916.8555751098424,3495.912141047675
Nevada,58,3432.26685190499,3541.1671114551427
UNLV,23,3171.48197489216,4907.10315805138
New Mexico,9,2459.5920827321997,4725.206622065396
New Mexico State,5,2297.8303725536002,4680.158062188935
North Carolina,28,3477.5321253502775,4890.562103872777
NC State,104,4891.963569599682,3319.560958979797
North Texas,61,3830.5236644700226,3856.8364331430025
Northern Illinois,40,2657.817893540986,3352.3528388634454
Northwestern,64,3266.8381544367985,3333.047142195335
Notre Dame,123,4717.1375776196755,2548.1630256965464
Ohio,76,4706.552724992622,4193.091244084244
Ohio State,115,5998.152371590372,3711.0554397943124
Oklahoma,124,6783.9628926419155,3342.8080990430576
Oklahoma State,108,5064.199744769866,3440.254597166294
Old Dominion,14,2879.186784685321,5030.973907003868
Oregon,112,4803.600713469338,3144.4324215309634
Oregon State,35,3400.3338420376454,4385.341363193909
Penn State,120,4720.638193136206,2646.987865351699
Pittsburgh,90,3659.049351486648,2982.8758705222663
Purdue,93,4371.9751101681695,3525.3286679305415
Rice,5,2158.239028818662,4463.346769115332
Rutgers,17,1868.67187384501,3330.9333402007883
San Diego State,47,2664.1824325052394,3178.7515792244985
San José State,7,2282.8751010092665,4420.9905660075465
South Alabama,13,2571.882571847129,4593.502957217049
South Carolina,103,4391.505489654168,3100.087362461946
South Florida,69,3771.0315466219718,3653.146407181875
USC,77,3667.078329398522,3366.9690036446177
SMU,63,3541.0103734234394,3605.5314427389626
Southern Mississippi,21,2532.104070756061,3881.2966603058608
Stanford,98,4170.694589509306,3346.0925389038357
Syracuse,110,5443.942333526012,3619.132941453176
TCU,80,3097.509860636927,2779.466083305444
Temple,116,4717.206477342137,2750.5443058644237
Tennessee,50,2737.2465343604886,3311.8862300133183
Texas,112,4353.224878562512,2878.6968081863106
Texas A&M,119,4611.524442190015,2711.511821041458
Texas State,9,1886.7423660626453,3785.292096794762
Texas Tech,106,4765.874098018063,3305.180414298447
